,question
44308,What is the highest pole for class 125 cc and a WChmp more than 1?
44309,What is the highest flap for class 500 cc?
44310,Name the Result F – A that has a League position of 1st on  4 january 1994?
44311,What is the Thai name for the word abbreviated มี.ค.?
44312,What is the English word that is abbreviated พ.ย.?
44313,What is the transcription for the English word March?
44314,What is the zodiac sign for the English March?
44315,What is the abbreviation for the sign of Capricorn?
44316,What is the transcription for the English March?
44317,"What date was the 1988 world group i edition with a result of 7–6 (7–5) , 6–3?"
44318,"Who was the opponent on april 24, 1999?"
44319,"What's the result for the clay surface edition on july 17, 1992?"
44320,"What round had a result of 6–7 (6–8) , 1–6?"
44321,"Who was the opponent when the result was 7–6 (7–5) , 6–3?"
44322,What clay surface edition had an opponent of miho saeki?
44323,"What is To par, when Country is ""Spain""?"
44324,"What is Country, when Player is ""José María Olazábal""?"
44325,"What is Place, when Player is ""John Cook""?"
44326,"What is Score, when Country is ""United States"", and when Player is ""Raymond Floyd""?"
44327,"What is To par, when Player is ""Larry Rinker""?"
44328,"What is Country, when Place is ""T8"", and when Score is ""70-67=137""?"
44329,What Country is player Sandy Lyle from when she scored less than 69?
44330,What is the to par of Philip Parkin?
44331,What was the lowest attendance was the opponent was chelsea?
44332,What is the Date of Birth of the CB Player with a Height of m (ft 4in)?
44333,Which country had a t4 place and scored 66-73=139?
44334,Who placed t1 in Scotland?
44335,Who had a to par of e and scored 71-69=140?
44336,What is the to par for t10 and Colin Montgomerie?
44337,What country scored 71-69=140?
44338,What week's game had a result of bye?
44339,What was the record at week 9?
44340,What is the to par of player vijay singh?
44341,Who is the player with playoff money from the United States?
44342,What is the place of the player from New Zealand?
44343,What is the to par of the player from the United States with a t1 place?
44344,How much money does the player with a 72-70-71-72=285 score have?
44345,What is the save of the game with a 7-6 score?
44346,What is the save of the game where moran (1-2) lost?
44347,Who was the opponent on June 15?
44348,What is the save of the game with rice as the opponent?
44349,"What is the lowest Goals Agains, when Played is greater than 34?"
44350,"What is the lowest Lost, when Goals For is greater than 52, when Points 1 is ""44"", and when Drawn is less than 8?"
44351,"What is the total number of Lost, when Played is less than 34?"
44352,Which song has a U.S. R&B 100 in 2010?
44353,What is the Lowest value in Against with Wins % of 50.4% and Losses less than 20?
44354,Which Losses have a Wins % of 48.6%?
44355,"What is the Champion at Sopot prior to 2006 with a Score of 6–4, 6–7(7), 6–3?"
44356,"In what Year was the match at Sopot with a Score of 2–6, 6–2, 6–3?"
44357,"Which Team has Podiums of 0, and a Position of nc†?"
44358,"Which Wins has a Team of scuderia toro rosso, Poles of 0, and Races of 16?"
44359,"Which Season has Podiums of 0, and Races of 16?"
44360,"Which Wins has Podiums of 0, and a Series of masters of formula 3?"
44361,What was the method used when the time was 4:52?
44362,What was the result when the time was 4:15?
44363,Which NHL team chose an American player from the United States Hockey League?
44364,What is the nationality of player Jani Hakanpaa?
44365,From which league is the player chosen by the Atlanta Thrashers (from Dallas) 6?
44366,"What median family income has a population greater than 93,643, with cleveland as the county?"
44367,How many households have yadkin as the county?
44368,"What is the highest pick for a year after 2010, and a round smaller than 1?"
44369,What is the highest pick for a year after 2010 and a round larger than 1?
44370,"What is the sum for the pick of the year 2009, and a round smaller than 2 and an NBA Club Denver Nuggets?"
44371,"Can you tell me the total number of Total that has the First round of 0, and the Finals smaller than 5?"
44372,Can you tell me the average Conference Finals that has Finals smaller than 5?
44373,"Can you tell me the Finals that has the Conference Finals smaller than 12, and the Semifinals of 0, and the Total of 3?"
44374,What's the sum of the headcounts that have an n/a value of $60k to $70K?
44375,What's the mean of the $70-80k ones that have 2.80%?
44376,Which have more than $80k and a total percent of 2.2%?
44377,What's the total percent of the $40-50K ones that have n/a?
44378,"Which Label has a Country of canada, and a Format of cd/digital download?"
44379,"Which Format has a Date of 14 october 2008, and a Label of eagle eye media?"
44380,"Which Label has a Country of united kingdom, a Date of 22 september 2008, and a Catalogue number(s) of eredv711?"
44381,Which Country has a Catalogue number(s) of eredv711?
44382,"Which Format has a Label of eagle eye media, a Catalogue number(s) of —, and a Country of united states?"
44383,"Which Format has a Label of eagle records, and a Catalogue number(s) of edgcd391?"
44384,What is the Height of the Player with a Date of Birth of 1978-02-16?
44385,What is the Name of the D Player born on 1983-07-19?
44386,What is Eftychia Karagianni Pos.?
44387,What is the track that from lcd soundsystem?
44388,"What is the total number of UEFA Cup(s), when Total is greater than 3?"
44389,"What is the lowest Polish Cup, when Position is ""Midfielder"", when Player is ""Miroslav Radović"", and when Ekstraklasa is less than 1?"
44390,"What is the sum of Polish Cup, when Player is ""Maciej Iwański"", and when Ekstraklasa is less than 1?"
44391,"What Election has a 2nd Member of frederick knight, and a 1st Member of sir edmund lechmere, bt?"
44392,"What 2nd Member has a 1st Party of conservative, and a 1st Member of william edward dowdeswell?"
44393,What 2nd Party has an Election of 1885?
44394,What 2nd Party has an Election of 1834?
44395,"What 2nd Member has a 2nd Party of conservative, and an Election of 1853 by-election?"
44396,What 2nd Member has an Election of 1833 by-election?
44397,Golfer Steve Pate has what To par?
44398,What was the score when they played the Boston Patriots?
44399,How many apps for the rank of 8 in the 2012/13 season?
44400,How many goals per match when the player has more than 33 goals and more than 38 apps?
44401,"What was the score when Nacional was the champion, River Plate was the runner-up, and the venue was Centenario?"
44402,Who was the champion when atlético wanderers was the runner-up?
44403,In which city is the San Lorenzo Centenario venue located?
44404,The game played 31 May 2010 was played on what surface?
44405,What tournament was played 16 September 2012?
44406,What is the score of the game played 26 July 2010?
44407,The match against Paul-Henri Mathieu had what outcome?
44408,What is South Africa's to par?
44409,Who had a finish of t20?
44410,What is the average pjehun measured by female enrollment?
44411,"What is the highest pjuehun with a kenema greater than 559, a kambia of 45,653, and a tonkolili greater than 113,926?"
44412,"What is the sum of the kono with a bonthe greater than 21,238?"
44413,What party is the person who was first elected in 2000 and was re-elected?
44414,Which report has a Set 3 value of 21–25?
44415,What was the Time when Set 3 was 25–14?
44416,"When was there a Time of 18:00, and a Set 1 of 22–25?"
44417,"How many Totals have a CONCACAF of 0, and an MLS Cup smaller than 6?"
44418,"Which MLS Cup has another larger than 9, and a Total smaller than 72?"
44419,"What year has a not nominated result and a nomination title of ""the color of fame""?"
44420,"What's the original title of the nomination title, ""brecha en el silencio""?"
44421,"What year has a nomination title of ""sangrador""?"
44422,"What year has a original title of ""el tinte de la fama""?"
44423,What's the result for director elia schneider's punto y raya?
44424,What is the score points when the total is 20?
44425,"What is the score points in WC Kerrville, when rank was points of 8?"
44426,What is the score points when the total is 16?
44427,What is the score points when the rank points is 3?
44428,What is the total when the score points show Olympic bronze medalist?
44429,What Winning constructor has a Circuit of lasarte?
44430,What Date has a Winning driver of ugo sivocci?
44431,What Report has a Winning driver of mario razzauti?
44432,What Date has a Circuit of cremona?
44433,What Name has a Winning constructor of ansaldo?
44434,What Winning driver has a Winning constructor of sunbeam?
44435,What is the average total for 0 bronze?
44436,"What is the time entry for the track composed by ROZ, with the title ""잘해봐 (good luck!!)""?"
44437,"How long is the track ""잘해봐 (good luck!!)""?"
44438,What is the title of the track with lyricist ROZ and arranger Yongmin Lee?
44439,"Who was the lyricist for composer ROZ on title ""요리왕 (cooking? cooking!)""?"
44440,Who was the lyricist for composer Haewon Park?
44441,What are the lengths of the tracks arranged by ROZ?
44442,What host city had a 2nd runner up of woon yeow?
44443,How many years did caroline lubrez win?
44444,Who won after 2007 when deyra cimen was the 1st runner up?
44445,How many years was assel isabaeva the 2nd runner up?
44446,Who was the 2nd runner up in istanbul after 1994 when veronica laskaeva was the 1st runner up?
44447,"Which Area km 2 has an Official Name of stanley, and a Population larger than 1,817?"
44448,"How much Area km 2 have a Population of 1,215?"
44449,"Which Census Ranking has a Population smaller than 879, and an Area km 2 larger than 537.62?"
44450,"Which Census Ranking has an Area km 2 larger than 753.06, and an Official Name of stanley?"
44451,"Which Area km 2 has an Official Name of southampton, and a Population larger than 1,601?"
44452,What is Kirkby Town's lowest lost with more than 83 goals?
44453,What is the lowest position with points 1 of 27 2 and fewer than 9 drawn?
44454,What is the goal difference number with a position of 15?
44455,"What is Original Album, when English Translation is ""With You""?"
44456,"What is the Original Album, when English Translation is ""What Else Will I Hear""?"
44457,"What is English Translation, when Lyricist(s) is ""Giorgos Moukidis"", and when Original Album is ""Ena (New Edition)"""
44458,"What is Original Album, when Time is ""3:39""?"
44459,"What is Time, when Lyricist(s) is Giorgos Moukidis, and when English Translation is ""Nowhere""?"
44460,"What is Time, when Composer(s) is ""Kyriakos Papadopoulos""?"
44461,Who was the visitor on March 27?
44462,What was the score of the game on February 8?
44463,What was their record on December 4?
44464,What was the score on February 21 when the home team was the Pittsburgh Penguins?
44465,WHAT IS THE LOWEST MONEY WITH TO PAR LARGER THAN 26?
44466,WHAT IS THE SCORE WITH $85 FOR CLARENCE HACKNEY?
44467,WHAT IS THE LOWEST MONEY WITH 74-74-76-74=298 SCORE?
44468,"What is the week number for the date of September 14, 1980?"
44469,What week was the result l 14–9?
44470,"What is the week number with attendance of 44,132?"
44471,Who was the winner for the circuit Eastern Creek Raceway?
44472,What was the city for the winner Darren Hossack at the circuit of phillip island grand prix circuit?
44473,What city was the circuit of mallala motor sport park?
44474,"Which To par has a Place of t1, and a Country of india?"
44475,What is Brian Gay's place?
44476,"Which Country has a Score smaller than 70, and a Place of t3, and a Player of andrés romero?"
44477,What order year has a 30 Length (ft.) and 05.505 model?
44478,What builder has a 2001-02 order year?
44479,What is the order year of obi builder and 05.505 model that is 30 feet long?
44480,"What is the career of player serhiy konovalov, who has less than 1 pct.?"
44481,What is the career of player andriy husyn?
44482,What is the earliest year that has fewer than 3852.1 cows and 3900.1 working horses?
44483,"What is the number of bulls that has oxen larger than 113.8, and a sheep and goats larger than 4533.4, and a cows smaller than 3987, and a total horses larger than 5056.5?"
44484,How many years had fewer than 2089.2 pigs?
44485,"What was the lowest total number of horses that has a total cattle smaller than 6274.1, and a oxen smaller than 156.5, and a bulls of 40.0, and fewer than 3377 cows?"
44486,"What is the lowest number of sheep and goats after 1931, with fewer than 2518 cows and more than 2604.8 horses?"
44487,"For the game ending with a record of 31-43-2, what was the decision?"
44488,"For the game that ended with a record of 28-35-1, what was the decision?"
44489,WHAT IS THE HIGHEST ATTENDANCE FOR THE PHOENIX COYOTES?
44490,WHAT IS THE DECISION FOR NOVEMBER 28?
44491,what is the mission when the location is rome?
44492,what is the mission when the head of mission is pedro blandino?
44493,what is the location when the type is embassy and the head of mission is josé manuel castillo?
44494,what is the location when the type is embassy and the mission is panama?
44495,what is the mission when the location is brasilia?
44496,what is the type when the position is ambassador and the location is rabat?
44497,"How many wins when the pct, is .848?"
44498,Which season had 34 losses?
44499,What was the finish in the playoffs season?
44500,What is the number of wins in the playoffs league?
44501,What is the league with 0 losses?
44502,In what place is the player with a score of 72-66-75=213?
44503,From what country is the player with a score of 68-71-76=215?
44504,Which player has a score of 68-69-73=210
44505,Who has a finish of t66?
44506,What is Wayne Grady's total?
44507,What percent did GRÜNE get in Tyrol where RETTÖ got 0.6%?
44508,"What percent did RETTÖ get in the state where LINKE got 0.1%, and FRITZ got 1.3%?"
44509,What percent did GRÜNE get in the state where FRITZ got 1.3%?
44510,What percent did LINKE get in Tyrol?
44511,What percent did STARK get in upper austria?
44512,What's the lowest against on 27/03/1971?
44513,"What venue has an against over 14, an opposing team of scotland, and a status of five nations?"
44514,What is the T4 Place Player with a Score of 71-74-66=211?
44515,"With a To par of –1, what is Player Henrik Stenson's Score?"
44516,What is the To par of the Player with a Score of 73-67-68=208?
44517,"WHAT IS THE PM THAT HAS NO BLOGS, NO XML Forms Management and workflow, NO SEARCH, AND NO SOCIAL SOFTWARE?"
44518,WHAT CHARTING HAS NO BLOGS OR DISCUSSION?
44519,"WHAT IS THE SOCIAL SOFTWARE WITH NO DISCUSSION, NO TIME TRACKING, AND NO CHARTING?"
44520,"WHAT IS THE BOOKMARKING, TAGGING, RATING AND COMMENTS WITH NO LIST MANAGEMENT, NO CHARTING, NO WEB PUBLISHING, OF MICROSOFT EXCHANGE SERVER?"
44521,"What is Constellation, when Date Sent is ""September 4, 2001"", and when Distance ( ly ) is less than 57.4?"
44522,"What is Date, when Constellation is ""Delphinus""?"
44523,"What is the total number of Distance ( ly ), when Constellation is ""Draco""?"
44524,"What is Date Sent, when Signal Power ( kW ) is less than 126, when Arrival Date is ""January 2059"", and when HD Designation is ""HD193664""?"
44525,"What is Constellation, when HD Designation is ""HD197076""?"
44526,"What date was the match against leonardo tavares with a score of 6–4, 6–4?"
44527,What date was the match against adrián menéndez-maceiras?
44528,What is the highest number of wins for Quambatook when Against is less than 1129?
44529,What is the total number of draws when there are fewer than 3 wins?
44530,What is the total number of draws for Wakool when there are more than 11 losses and fewer than 4 wins?
44531,Which Country has a Score of 69-74=143?
44532,"Which Player has a To Par smaller than 5, and a Score of 70-72=142?"
44533,What was Frank Moore's score?
44534,What was the score of the game that home team birmingham city played?
44535,What date was the game when away team northampton town played?
44536,Who was the team who played home team woking?
44537,What is the home for the league 3rd liga (iii)?
44538,"What is the home for league 3rd liga, and an away of 4-0?"
44539,What is the home for the away of 4-0?
44540,"What season has a league 3rd liga, and away of 1-0?"
44541,"What is the home with a league 3rd liga, and an away of 4-0?"
44542,What team has a season of 2009-10?
44543,"What is the highest Goals Against, when Points is greater than 25, when Club is ""SD Indautxu"", and when Position is greater than 3?"
44544,"What is the total number of Wins, when Draws is less than 2?"
44545,"What is the average Wins, when Played is less than 30?"
44546,"What is the total number of Wins, when Draws is less than 5, when Goals is greater than 49, and when Played is greater than 30?"
44547,"What is the lowest Goal Difference, when Position is ""7"", and when Played is greater than 30?"
44548,"What is the week 3, prior to the when the week 4 was Laura Nicole?"
44549,What was the week 2 prior to the when Miranda Jordan was the week 4?
44550,What was the week 2 prior to the when Brittany Alyse was week 3?
44551,What is the week 5 after Dani Dior as week 1?
44552,What was the week 2 before Lara Leverence was week 3?
44553,What is the total number of bronzes that is less than 1 in total?
44554,"What is the total number of bronze that has less than 2 gold, and more than 1 silver?"
44555,"What is the lowest rank with less than 1 gold, 0 silver, 1 bronze, and a total less than 1?"
44556,What is the average bronze for less than 0 gold?
44557,"What is the total number for less than 8 bronze, the Netherlands nation, and is ranked less than 16?"
44558,What California city has an active status and a greek designation of established colony?
44559,"What's the greek designation of the new york chapter with a charter date of april 23, 2005?"
44560,"What collegiate institution has an active status and a charter date of march 30, 2002?"
44561,What's the greek designation of the city riverside?
44562,"What city has a charter date of november 24, 1999?"
44563,"What state or district has a charter date of april 17, 2011?"
44564,What is the smallest all around when the total is 19.85 and the hoop is less than 9.85?
44565,What is the average hoop when the all around is less than 9.7?
44566,"What is Per Capita Income, when Population is greater than 9,563, and when Median Family Income is ""$49,310""?"
44567,"What is Median Family Income, when Median Household Income is ""$50,717""?"
44568,"What is the highest Number of Households, when Per Capita Income is ""$25,557"", and when Population is less than ""22,330""?"
44569,"What is the lowest Population, when Per Capita Income is ""$16,330""?"
44570,"What is the highest Population, when Per Capita Income is ""$17,168"", and when Number of Households is greater than 3,287?"
44571,"What is Place, when Score is ""70-68=138"", and when Player is ""Andrew Magee""?"
44572,"What is To par, when Place is ""T5"", and when Score is ""70-68=138""?"
44573,"What is Score, when Place is ""T5"", when Country is ""United States"", and when Player is ""Davis Love III""?"
44574,"What is Player, when Country is ""United States"", when Place is ""T10"", and when Score is ""68-71=139""?"
44575,"What is Score, when Player is ""Vijay Singh""?"
44576,"Which Player has a To par of –2, and a Country of wales?"
44577,"Which Score has a To par of –3, and a Player of santiago luna?"
44578,Which Player has a Score of 67 in united states?
44579,"What are the Opponents at the Schenectady, U.S. Tournament?"
44580,"What was the outcome of the August 20, 2007 match?"
44581,"What was the score in the August 20, 2007 match?"
44582,"Which tournament was held on July 13, 2008?"
44583,"Who was the opponent in the September 20, 2010 match?"
44584,What date was the Izmir Cup in which İlhan played against Somdev Devvarman?
44585,What years did Tom Lehman win?
44586,What was the total To Par for the winner in 1995?
44587,"How many years had a 100 m hurdles event at the world championships in Osaka, Japan?"
44588,"What was the position of the event held in Valencia, Spain?"
44589,"What was the earliest year that an event held in Berlin, Germany had a 100 m hurdles event?"
44590,"What even was held in Valencia, Spain?"
44591,What is the time of the tim trophy competition where juventus was the opponent?
44592,What is the competition on 15 August 2008?
44593,What is the score of the friendly match competition on 24 July 2008?
44594,"What is the ground of the tim trophy competition, which had a time of 23:00 cet?"
44595,What competition is at 23:00 cet?
44596,"What is the outcome on March 20, 1994?"
44597,"What tournament had a hard surface on February 25, 1996?"
44598,What is the score in the final with a hard surface and is against Hiromi Nagano?
44599,"What is the total outcome for the clay surface on April 21, 1996?"
44600,What aircraft is located at S of Avion?
44601,"What is the Unit for the Aircraft F.e.2b, located in Logeast?"
44602,"What is the name of the place that has a census ranking of 1,229 of 5,008?"
44603,"How large, in square kilometers, is Sackville?"
44604,"What is the name(s) of the place(s) with a population of less than 1,429?"
44605,What score has 33 as the points?
44606,What date has joe louis arena as the arena?
44607,What competition was played on 2 June 1992?
44608,What date was a friendly match played that ended in a 3-0 score?
44609,What was the score of the match played on 5 September 2001?
44610,In what stadium was the friendly match on 2 June 1992 played in?
44611,What was the score of the 1998 FIFA World Cup qualification competition?
44612,Name the Date has a Competition of welsh rugby union challenge trophy and a Result of 34-34? Question 1
44613,Name the Result of new zealand Nationality / Opponent?
44614,Name Nationality / Opponent on 10 january 1998?
44615,Name The Ground on 18 january 1998?
44616,Name the Nationality / Opponent of the Competition of welsh rugby union challenge trophy and a Result of 38-29?
44617,Name the Nationality / Opponent of rosario?
44618,What team 1 has a team 2 of universidad nacional?
44619,What team 2 has a team 1 of harbour view?
44620,What's the 2nd leg for team 2 san francisco?
44621,What's the 1st leg of team 1 alajuelense?
44622,What was the format for catalog 660-51-015?
44623,Which region had the year May 1974?
44624,"Which region had a year March 10, 1998?"
44625,What is the first party for Lord John Hay earlier than 1857?
44626,Who is the second member more recently than 1790 when John Williams is the first member?
44627,Who is the second member ewarlier than 1804 when Tory Henry Isherwood is the first member?
44628,Who is the second member when RT Hon. Edward Stanley is the first member?
44629,What is the second party where the first party is Tory and the year is 1820?
44630,Who is the player who won in 1993?
44631,What years did the player with a t71 finish win?
44632,What year did player payne stewart win?
44633,What year did the player with a t3 finish win?
44634,What is the lowest total of the player with a t41 finish?
44635,In what Battle was Bulgarian Commander of Gavril Radomir?
44636,What is the Date of the Bulgarian Victory at the Battle of Arcadiopolis?
44637,What is the Bulgarian Commander in Autumn 1040 at the Battle of Thessalonica?
44638,What is the Byzantine Commander with a Bulgarian Victory at the Siege of Lovech?
44639,What is the Result of the Battle of Marcellae in 756?
44640,What is the date of Gavril Radomir's Bulgarian Victory?
44641,"What is 3 Season, when 1 Season is ""2 959 699""?"
44642,"What is 1 Season, when 4 Season is ""2 101 043 (13 May 2009)""?"
44643,"What is 5 Season, when 2 Season is ""3 168 673 (2 April 2008)""?"
44644,"What is 4 Season, when 2 Season is ""3 168 673 (2 April 2008)""?"
44645,"What is 3 Season, when 4 Season is ""2 628 383 (3 June 2009)""?"
44646,"What is 1st Season, when 4 Season is ""3 273 440 (17 March 2009)""?"
44647,What was the wind at New York City when the rank was smaller than 6?
44648,What was the highest rink for Kingston?
44649,What is the average first elected for the district South Carolina 2?
44650,Who was the first elected for the republican party?
44651,What party has the South Carolina 2 district?
44652,What is the type for Cassano?
44653,What nationality is Diogo?
44654,What is the name of the player with a winter transfer window moving from Roma?
44655,What pressure is Ken?
44656,In which round was Barbara Hawcroft the loser?
44657,In which year is Nerida Gregory listed as the loser?
44658,In which year did Misaki Doi lose the Australian Open Grand Slam?
44659,Which Polish Cup has a Puchat Ligi larger than 0?
44660,"Which Player has a Total of 3, and an Ekstraklasa smaller than 3, and a UEFA Cup of 2?"
44661,"Which Puchat Ligi has a UEFA Cup smaller than 2, and a Player of takesure chinyama?"
44662,How much Ekstraklasa has a Total smaller than 3?
44663,"How much Puchat Ligi has a Total smaller than 5, and an Ekstraklasa larger than 1?"
44664,"Which player has a to par greater than 11, with a total less than 155?"
44665,"What country has a to par less than 13, with wayne grady as the player?"
44666,"Which Points 1 has Drawn of 5, and a Goal Difference of +58, and a Lost larger than 4?"
44667,Which Lost has Goals Against larger than 92?
44668,"Which Points 1 has a Team of atherton collieries, and a Position smaller than 8?"
44669,"How much Played has a Position of 7, and a Drawn smaller than 7?"
44670,"How much Drawn has Points 1 of 51, and a Lost larger than 5?"
44671,When was the aircraft introduced that could seat 115 people?
44672,What year was the aircraft retired when it was replaced by 737-300s?
44673,What aircraft was introduced in 2004 and has a retired of —?
44674,Which aircraft has 148/9 seating?
44675,How many people can be seated on the aircraft that was introduced in 2008 and has notes of in service?
44676,What is the nationality of the player who was previously with the Detroit Pistons?
44677,What is the career with the franchise of the f/c player with fewer than 9 years of NBA experience who previously played for the Phoenix Suns?
44678,What was the tie number when Bournemouth was the home team?
44679,Who was the away team when the home team was Norwich City?
44680,On what date was Wimbledon the home team?
44681,On what date was the away team West Ham United?
44682,On what date was the away team Bournemouth?
44683,What district has abhayapuri south as the name?
44684,"Which Bronze has a Gold larger than 1, and a Silver smaller than 3, and a Rank smaller than 5?"
44685,"Which Rank has a Gold larger than 1, and a Bronze of 4, and a Silver smaller than 1?"
44686,"Which Rank has a Gold of 3, and a Bronze of 4, and a Total larger than 8?"
44687,"How much Total has a Rank smaller than 10, and a Silver larger than 3, and a Gold larger than 3?"
44688,"Which Total has a Rank of 9, and a Silver smaller than 2?"
44689,What event had Xu Zhilin competing?
44690,What sport has Ma Yuxi in it?
44691,How many years is Antonio Pompa-Baldi Italy first?
44692,Who is fourth when Anders Martinson USA is second?
44693,"Can you tell me the sum of Wins that has the Club of abuls smiltene, and the Goals smaller than 18?"
44694,"Can you tell me the average Wins that has the Goal Difference larger than -24, and the Draws larger than 7?"
44695,"Can you tell me the highest Draws that has the Goal Difference smaller than 64, and the Played larger than 30?"
44696,Can you tell me the highest Points that has the Played smaller than 30?
44697,What rank was the country with no bronze but at least 1 silver medals?
44698,"What is the smallest number of gold medals a country with 1 bronze, and a total of 3 medals which is lower than rank 7?"
44699,What is the smallest number of gold medals a country with 7 medals has?
44700,Can you tell me the Host City that has the Games of vii?
44701,"What was the nominated work after 2006, that was awarded the Drama Desk award and the Outstanding featured actor in a musical?"
44702,What year was Evita nominated for outstanding featured actor in a musical?
44703,"What was the nominated work, nominated for the drama league award before 2007?"
44704,Who had the pole position on 7 August?
44705,Who was the winning team at Zandvoort?
44706,"Which Losses have Wins smaller than 6, and a South West DFL of sandford?"
44707,"How much Against has Draws of 2, and Losses smaller than 4?"
44708,"How many Losses have South West DFL of coleraine, and an Against smaller than 891?"
44709,"What is the lowest played number when goals for is 47, and wins is smaller than 14?"
44710,"What Club has 13 wins, goals against less than 48, and a position of 4?"
44711,"What is the lowest position number when goals against was 59, and a goals for is smaller than 24?"
44712,"What is the highest goals against when points are larger than 31, the goal difference is smaller than 9, wins are 13, and draws are larger than 6?"
44713,"What is the lowest played number when points are larger than 32, and a wins are larger than 18?"
44714,"Can you tell me the highest Against that has the Status of six nations, and the Date of 02/03/2002?"
44715,Can you tell me the average Against thaylt has the Date of 23/03/2002?
44716,What is the population of area of 11?
44717,"What shows for traditional when the population was 44,803?"
44718,"What is the population when the area is 4,575?"
44719,What shows for simplified when the density is 52?
44720,What is the density when simplified shows 南山区?
44721,What is the pinyin when the simplified shows 南山区?
44722,What country does Greg Norman represent?
44723,What years won have a total of 286?
44724,Which player had a total of 295?
44725,What is the To par when there was a total of 291?
44726,What is the year of daylight service when the builder was Alco?
44727,"What is 2006-07 Season, when Team is ""KF Fushë Kosova""?"
44728,"What is 2006-07 Season, when Stadium Capacity is ""0 2,500""?"
44729,"What is Stadium Capacity, when 2006-07 Season is ""12th""?"
44730,"What is Stadium, when Club Home City is ""Peć"", and when 2006-07 Season is ""1st""?"
44731,"What is Club Home City, when Stadium Capacity is ""0 2,500""?"
44732,"What is Stadium, when Stadium Capacity is ""10,000"", and when Team is ""KF Drita""?"
44733,"What is Year(s) Won, when Total is ""145"", and when Country is ""United States""?"
44734,"What is the lowest To par, when Total is greater than 148, and when Year(s) Won is ""1959 , 1968 , 1974""?"
44735,"What is Country, when To par is ""1"", and when Player is ""Seve Ballesteros""?"
44736,"What is the sum of Total, when Year(s) Won is ""1966 , 1970 , 1978"", and when To par is less than 4?"
44737,"What is Country, when Total is less than 148, and when Player is ""Gary Player""?"
44738,"What is To par, when Total is less than 148, and when Country is ""South Africa""?"
44739,What is the average age at appointment of those attached to security?
44740,"What was the distance of the race on saturday, august 23?"
44741,Who was the winner of the race that had a distance of 175.6km?
44742,"Who won the race on wednesday, august 27?"
44743,What is the distance of the maldegem > brussels route?
44744,Who was the winner of the mechelen > mechelen route?
44745,What IMAP sharing options exist for software with a web UI?
44746,What's the total for the wc belgrade event with 10 rank points?
44747,That's the total for rank points of olympic gold medalist?
44748,Who's the shooter with score points of defending champion?
44749,Who's the shooter with a total of 25?
44750,Who's the shooter with 13 score points and 10 rank points?
44751,"What is the highest points when the top goal scorer was Khaled Msakni (10), and the final standing is less than 12?"
44752,What is the final standing in 1981–82?
44753,Which event had 4th place and took place in the year 2007?
44754,"What runner-up has 4 & 3 as the score, with michael bonallack as the winner?"
44755,"What venue has 3 & 2 as the score, and 1965 as the year?"
44756,What runner-up has 2008 as the year?
44757,"What winner has royal st george's golf club as the venue, and 1969 as the year?"
44758,What runner-up has 1925 as the year?
44759,"What year has John Davies as the runner-up, with warren humphreys as the winner?"
44760,What country is the player who scored 27 goals from?
44761,"For the player that scored 27 goals, what years did he score them?"
44762,In what place(s) did the player(s) with a total less than 282 finish?
44763,"In what place did Nick Faldo, who had more than 284 points and a to par score of +5, finish?"
44764,When did Prime Minister Agathe Uwilingiyimana's mandate end?
44765,What is the power output for class 5?
44766,Which class has a power output larger than 700 and a class of 48?
44767,What is the Week 8 result of the team that lost to syarcuse (4-2) in Week 7?
44768,What is the Week 1 result of Colorado State?
44769,Who is the incumbent for the Colorado 4 district?
44770,What district is the incumbent Republican and the incumbent retired to run for governor democratic gain?
44771,In Colorado 6 district what is the party?
44772,"Which tournament had a clay surface and a score of 6–1, 3–6, 6–2?"
44773,"How many days had a score of 4–6, 4–6?"
44774,What was the To Par of Tiger Woods who won in 1988?
44775,What is the team sites entry for Microsoft Sharepoint?
44776,"If the intranet entry is Yes, what is the extranet entry for Microsoft Exchange server?"
44777,What is the team sites entry that has a public entry of No and a developer entry of Yes?
44778,"What is the name for the entry that has a public of Yes, a personal sites of No, and a team sites of No?"
44779,What is the name of the entry that has a developer entry of Yes and a personal sites entry of No?
44780,What Line has Ohakune Junction as its NIMT?
44781,What line has Newmarket Junction terminus?
44782,What terminus is 3.5km in lenght?
44783,What line has Junction of Huntly NIMT
44784,What is the average final with an all around greater than 19.35 and a total over 40?
44785,"What is the sum of the final for finland, who placed greater than 2 and had an all around larger than 18.9?"
44786,"What is the place of the player with £140,000 and a 68-68-75-68=279 score?"
44787,"What is the country of player stuart appleby, who has a t1 place?"
44788,"What is the place of player sergio garcía, who has £77,500?"
44789,What is the to par of the player with a 73-70-70-65=278 score?
44790,"Who is the player with £140,000?"
44791,"What is Date, when Time is ""56.49""?"
44792,"What is Event, when Date is ""19 December 2009""?"
44793,"What is Time, when Meet is ""Duel in the Pool"", and when Date is ""19 December 2009""?"
44794,"What is the Location, when Event is ""100m Butterfly""?"
44795,"What is Date, when Meet is ""World Championships"", when Nationality is ""United States"", and when Time is ""1:46.68""?"
44796,"What is Event, when Meet is ""World Championships"", and when Time is ""20.51""?"
44797,"What is the highest number of households with a median household income of $31,176, and a population of 25,607?"
44798,What is the median household income for Cape Girardeau?
44799,"What is the median household income with 4,527 houses, and a median family income of $71,009?"
